O_Purpose,D_Purpose,Distance,Travel_Time,Age_Group,Gender,License,HH_Size,Num_Student,Num_Driver,Num_Worker,Num_Vehicle,HH_Income,HH_Trips,TRAVEL_MODE
9,4,2.1,22,9,1,1,1,0,1,0,1,2,5,3
1,9,10.165,16,7,1,1,3,2,1,1,1,3,12,3
4,2,3.198,14,7,1,1,3,2,1,1,1,3,12,3
2,1,6.809,12,7,1,1,3,2,1,1,1,3,12,3
1,8,9.452,30,2,2,2,3,2,1,1,1,3,12,4
8,1,9.156,18,2,2,2,3,2,1,1,1,3,12,4
4,4,2.515,10,10,1,1,1,0,1,0,1,5,4,3
1,2,9.841,25,8,1,1,3,0,3,1,3,4,20,3
2,4,8.299,47,8,1,1,3,0,3,1,3,4,20,3
4,9,1.636,10,8,1,1,3,0,3,1,3,4,20,3
9,4,1.479,12,8,1,1,3,0,3,1,3,4,20,3
4,1,5.745,25,8,1,1,3,0,3,1,3,4,20,3
1,9,3.867,15,11,1,1,3,0,3,1,3,4,20,3
9,4,3.286,24,11,1,1,3,0,3,1,3,4,20,3
4,4,4.707,28,11,1,1,3,0,3,1,3,4,20,3
1,9,0.612,10,11,2,1,3,0,3,1,3,4,20,3
9,4,2.828,20,11,2,1,3,0,3,1,3,4,20,3
9,1,0.612,13,11,2,1,3,0,3,1,3,4,20,3
1,9,3.125,17,7,1,1,3,0,2,2,2,3,19,3
1,2,5.156,13,7,2,1,3,0,2,2,2,3,19,3
1,4,3.131,11,1,2,2,3,0,2,2,2,3,19,4
1,9,3.125,17,1,2,2,3,0,2,2,2,3,19,4
1,9,3.656,10,9,2,1,5,3,4,2,5,8,18,3
1,2,8.241,15,9,1,1,5,3,4,2,5,8,18,3
2,1,8.6,20,9,1,1,5,3,4,2,5,8,18,3
1,9,4.592,20,6,2,1,5,3,4,2,5,8,18,3
9,1,4.837,20,6,2,1,5,3,4,2,5,8,18,3
1,8,2.899,15,3,2,2,5,3,4,2,5,8,18,1
8,1,2.899,15,3,2,2,5,3,4,2,5,8,18,1
1,9,3.77,65,12,1,1,1,0,1,0,0,3,5,2
9,9,3.274,30,12,1,1,1,0,1,0,0,3,5,2
2,9,3.262,10,10,2,1,2,0,2,2,2,8,11,3
